MODE=dev-server BASE=http://localhost:5199

=== safari660 | fix=False | au démarrage: {'top': 157, 'max': 157, 'boardTop': -93}
    après remise à 0 : {'top': 0, 'max': 157, 'boardTop': 64}
[ok    ] coup 1 h2->h3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=157) | boardTop 64->64
[ok    ] coup 2 a2->a3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=157) | boardTop 64->64
[SCROLL] coup 3 g2->g3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=14 après réponse bot=14 (max=157) | boardTop 64->50
[SCROLL] coup 4 b2->b3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=14 après mon coup=40 après réponse bot=40 (max=157) | boardTop 50->24
[SCROLL] coup 5 h3->h4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=40 après mon coup=57 après réponse bot=57 (max=157) | boardTop 24->7
[ok    ] coup 6 a3->a4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=57 après mon coup=57 après réponse bot=57 (max=157) | boardTop 7->7
[ok    ] coup 7 g3->g4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=57 après mon coup=57 après réponse bot=57 (max=157) | boardTop 7->7
[ok    ] coup 8 b3->b4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=57 après mon coup=57 après réponse bot=57 (max=157) | boardTop 7->7

=== standalone852+insets-emules | fix=False | au démarrage: {'top': 58, 'max': 58, 'boardTop': 65}
    après remise à 0 : {'top': 0, 'max': 58, 'boardTop': 123}
[ok    ] coup 1 h2->h3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123
[ok    ] coup 2 a2->a3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123
[ok    ] coup 3 g2->g3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123
[ok    ] coup 4 b2->b3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123
[ok    ] coup 5 h3->h4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123
[ok    ] coup 6 a3->a4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123
[ok    ] coup 7 g3->g4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123
[ok    ] coup 8 b3->b4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=58) | boardTop 123->123

=== standalone852-brut | fix=False | au démarrage: {'top': 0, 'max': 0, 'boardTop': 64}
    après remise à 0 : {'top': 0, 'max': 0, 'boardTop': 64}
[ok    ] coup 1 h2->h3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
[ok    ] coup 2 a2->a3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
[ok    ] coup 3 g2->g3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
[ok    ] coup 4 b2->b3 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
[ok    ] coup 5 h3->h4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
[ok    ] coup 6 a3->a4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
[ok    ] coup 7 g3->g4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
[ok    ] coup 8 b3->b4 hit=piece:wP joué=True pcancel=0 | main.scrollTop avant=0 après mon coup=0 après réponse bot=0 (max=0) | boardTop 64->64
